Hour,Base_Action,Base_Bill,Base_Grid,Base_Soc
2034,0,7510.008422600025,57.123916666666666,6.394206315609476
2035,0,7513.683677516692,56.54238333333333,6.393566315609476
2036,0,7517.230804433359,54.57118333333333,6.392926315609476
2037,0,7520.659721266692,52.75256666666667,6.392286315609477
2038,0,7524.010900266692,51.556599999999996,6.391646315609477
2039,0,7527.312975016693,50.80115,6.391006315609477
2040,0,7530.618949766693,50.861149999999995,6.390366315609477
2041,0,7533.831974516693,49.431149999999995,6.389726315609478
2042,0,7536.963099266693,48.17115,6.389086315609478
2043,0,7540.013624016692,46.931149999999995,6.388446315609478
2044,0,7542.986798766692,45.74115,6.387806315609478
2045,0.01219368439052193,7545.9107161061775,44.98334368439052,6.398750315780474
2046,0.0012496842195259816,7548.811822085651,44.63239968421953,6.399297515789025
2047,0.0007024842109757401,7551.685592497125,44.21185248421097,6.399324875789452
2048,0.0006751242105487165,7554.661411130199,45.78182512421055,6.399326243789473
2049,0.0006737562105270101,7557.904379674353,49.89182375621053,6.399326312189475
2050,0.0006736878105257915,7561.50224821406,55.35182368781052,6.399326315609474
2051,0,7565.4049229640605,60.041149999999995,6.398686315609474
2052,0,7569.582547714061,64.27115,6.3980463156094745
2053,0,7573.9915724640605,67.83115000000001,6.397406315609475
2054,0,7578.491597214061,69.23115,6.396766315609475
2055,0,7583.0923719640605,70.78115000000001,6.396126315609475
2056,0,7587.760746714061,71.82115,6.3954863156094754
2057,0,7592.41222146406,71.56115,6.394846315609476
2058,0,7597.03964621406,71.19115000000001,6.394206315609476
2059,0,7601.54877096406,69.37115,6.393566315609476
2060,0,7605.76864571406,64.92115000000001,6.392926315609476
2061,0,7609.68627046406,60.27115,6.392286315609477
2062,0,7613.31789521406,55.87115,6.391646315609477
2063,0,7616.784419964059,53.33115,6.391006315609477
2064,0,7620.162091880726,51.96418333333333,6.390366315609477
2065,0,7623.371946797392,49.38238333333334,6.389726315609478
2066,0,7626.517118047393,48.387249999999995,6.389086315609478
2067,0,7629.574049630726,47.029716666666666,6.388446315609478
2068,0,7632.570131464059,46.09356666666667,6.387806315609478
2069,0.01219368439052193,7635.475728553544,44.70149368439052,6.398750315780474
2070,0.0012496842195259816,7638.366839699685,44.47863301755286,6.399297515789025
2071,0.0007024842109757401,7641.140301027825,42.668635817544306,6.399324875789452
2072,0.0006751242105487165,7644.131419577566,46.01720845754388,6.399326243789473
2073,0.0006737562105270101,7647.642445955053,54.015790422877195,6.399326312189475
2074,0.0006736878105257915,7651.397408661427,57.76865702114386,6.399326315609474
2075,0,7655.43197274476,62.07021666666666,6.398686315609474
2076,0,7659.865355161427,68.20588333333333,6.3980463156094745
2077,0,7664.603311328094,72.89163333333333,6.397406315609475
2078,0,7669.461805661427,74.74606666666666,6.396766315609475
2079,0,7674.36826674476,75.48401666666666,6.396126315609475
2080,0,7679.275492661427,75.49578333333334,6.3954863156094754
2081,0,7684.167932161427,75.26830000000001,6.394846315609476
2082,0,7689.0064043280945,74.43803333333334,6.394206315609476
2083,0,7693.719617161428,72.51096666666666,6.393566315609476
2084,0,7698.101235744761,67.40951666666666,6.392926315609476
2085,0,7702.191947911428,62.93403333333333,6.392286315609477
2086,0,7706.203603828094,61.71778333333333,6.391646315609477
2087,0,7710.017426828094,58.674200000000006,6.391006315609477
2088,0,7713.759231994761,57.56623333333334,6.390366315609477
2089,0,7717.521123244761,57.875249999999994,6.389726315609478
2090,0,7721.156534244761,55.9294,6.389086315609478
2091,0,7724.739601828094,55.124116666666666,6.388446315609478
2092,0,7728.278982911427,54.452016666666665,6.387806315609478
2093,0.01219368439052193,7731.808779334246,54.30456035105719,6.398750315780474
2094,0.0012496842195259816,7735.210946480386,52.34103301755286,6.399297515789025
2095,0.0007024842109757401,7738.519517058527,50.90108581754431,6.399324875789452
2096,0.0006751242105487165,7741.909813608267,52.15840845754388,6.399326243789473
2097,0.0006737562105270101,7745.716992985754,58.5719904228772,6.399326312189475
2098,0.0006736878105257915,7749.894392858795,64.2676903544772,6.399326315609474
2099,0,7754.140840692128,65.32996666666668,6.398686315609474
2100,0,7758.7697225254615,71.21356666666667,6.3980463156094745
2101,0,7763.566972775461,73.80385,6.397406315609475
2102,0,7768.629892108795,77.89106666666667,6.396766315609475
2103,0,7773.7130719421275,78.20276666666666,6.396126315609475
2104,0,7778.799079275461,78.24626666666666,6.3954863156094754
2105,0,7783.952892442127,79.28943333333333,6.394846315609476
2106,0,7789.067407692128,78.68485,6.394206315609476
2107,0,7794.056959358794,76.76233333333333,6.393566315609476
2108,0,7798.708608525461,71.56383333333333,6.392926315609476
2109,0,7803.127855608795,67.98841666666667,6.392286315609477
2110,0,7807.371724025461,65.29028333333333,6.391646315609477
2111,0,7811.510285942128,63.67018333333334,6.391006315609477
2112,0,7815.480059108794,61.073433333333334,6.390366315609477
2113,0,7819.384999108795,60.076,6.389726315609478
2114,0,7823.205380608794,58.775099999999995,6.389086315609478
2115,0,7826.934231275461,57.366933333333336,6.388446315609478
2116,0,7830.468120942127,54.367533333333334,6.387806315609478
2117,0.01219368439052193,7833.935290948279,53.341077017723855,6.398750315780474
2118,0.0012496842195259816,7837.291120677753,51.62814968421952,6.399297515789025
2119,0.0007024842109757401,7840.574887255893,50.51948581754431,6.399324875789452
2120,0.0006751242105487165,7844.005184805634,52.77380845754388,6.399326243789473
2121,0.0006737562105270101,7847.880334683121,59.617690422877196,6.399326312189475
2122,0.0006736878105257915,7852.139434139495,65.52460702114385,6.399326315609474
2123,0,7856.657312222828,69.50581666666666,6.398686315609474
2124,0,7861.415235306162,73.19881666666667,6.3980463156094745
2125,0,7866.371061722828,76.24348333333333,6.397406315609475
2126,0,7871.3869708894945,77.16783333333333,6.396766315609475
2127,0,7876.402393639494,77.16035,6.396126315609475
2128,0,7881.289399139494,75.1847,6.3954863156094754
2129,0,7886.311607889494,77.26475,6.394846315609476
2130,0,7891.291365139494,76.61165,6.394206315609476
2131,0,7896.128692222827,74.42041666666667,6.393566315609476
2132,0,7900.729546056161,70.78236666666666,6.392926315609476
2133,0,7905.149655472827,68.00168333333333,6.392286315609477
2134,0,7909.419541222827,65.69055,6.391646315609477
2135,0,7913.560164722828,63.70190000000001,6.391006315609477
2136,0,7917.554494889494,61.451233333333334,6.390366315609477
2137,0,7921.4731412228275,60.28686666666667,6.389726315609478
2138,0,7925.301617389494,58.899633333333334,6.389086315609478
2139,0,7929.12153955616,58.768033333333335,6.388446315609478
2140,0,7932.966629722827,59.155233333333335,6.387806315609478
2141,0.01219368439052193,7936.800526478979,58.983027017723856,6.398750315780474
2142,0.0012496842195259816,7940.700864458453,60.00519968421953,6.399297515789025
2143,0.0007024842109757401,7944.609788036593,60.13728581754431,6.399324875789452
2144,0.0006751242105487165,7948.596742336334,61.337758457543885,6.399326243789473
2145,0.0006737562105270101,7952.630168297154,62.05270708954386,6.399326312189475
2146,0.0006736878105257915,7956.799189670195,64.1387903544772,6.399326315609474
2147,0,7961.176762003529,67.34726666666667,6.398686315609474
2148,0,7965.9640520868625,73.65061666666666,6.3980463156094745
2149,0,7970.727125336863,73.27805000000001,6.397406315609475
2150,0,7975.62875800353,75.40973333333332,6.396766315609475
2151,0,7980.672422170196,77.59483333333334,6.396126315609475
2152,0,7985.764352086862,78.33738333333334,6.3954863156094754
2153,0,7990.848595753529,78.21913333333335,6.394846315609476
2154,0,7995.875887503528,77.34295,6.394206315609476
2155,0,8000.723259253528,74.57495,6.393566315609476
2156,0,8005.248108586861,69.61306666666667,6.392926315609476
2157,0,8009.4175780035275,64.14568333333334,6.392286315609477
2158,0,8013.370658086861,60.81661666666667,6.391646315609477
2159,0,8017.119174503528,57.66948333333334,6.391006315609477
2160,0,8020.805002753527,56.70505,6.390366315609477
2161,0,8024.318876753528,54.0596,6.389726315609478
2162,0,8027.737596170195,52.595683333333334,6.389086315609478
2163,0,8031.075728586861,51.35588333333333,6.388446315609478
2164,0,8034.348694170195,50.35331666666667,6.387806315609478
2165,0.01219368439052193,8037.54593650968,49.188343684390524,6.398750315780474
2166,0.0012496842195259816,8040.685004239154,48.29334968421953,6.399297515789025
2167,0.0007024842109757401,8043.776155233962,47.55616915087764,6.399324875789452
2168,0.0006751242105487165,8047.080687533702,50.83895845754388,6.399326243789473
2169,0.0006737562105270101,8050.883289827856,58.501573756210526,6.399326312189475
2170,0.0006736878105257915,8055.017005367564,63.59562368781052,6.399326315609474
2171,0,8059.535417534231,69.51403333333334,6.398686315609474
2172,0,8064.531605700898,76.86443333333332,6.3980463156094745
2173,0,8069.687091534231,79.31516666666667,6.397406315609475
2174,0,8074.945903534231,80.9048,6.396766315609475
2175,0,8080.209022867564,80.97106666666667,6.396126315609475
2176,0,8085.438951034231,80.46043333333333,6.3954863156094754
2177,0,8090.595584117564,79.33281666666667,6.394846315609476
2178,0,8095.62519528423,77.37863333333334,6.394206315609476
2179,0,8100.613336450897,76.74063333333334,6.393566315609476
2180,0,8105.288463617563,71.92503333333333,6.392926315609476
2181,0,8109.678729367563,67.54254999999999,6.392286315609477
2182,0,8113.92645553423,65.34963333333333,6.391646315609477
2183,0,8117.93904203423,61.732099999999996,6.391006315609477
2184,0,8121.903584867563,60.99296666666667,6.390366315609477
2185,0,8125.668979617563,57.92915,6.389726315609478
2186,0,8129.414962117563,57.6305,6.389086315609478
2187,0,8133.14065703423,57.31838333333334,6.388446315609478
2188,0,8136.87725353423,57.48609999999999,6.387806315609478
2189,0.01219368439052193,8140.4928347903815,55.62432701772385,6.398750315780474
2190,0.0012496842195259816,8144.112910103189,55.69346635088619,6.399297515789025
2191,0.0007024842109757401,8147.7888725979965,56.55326915087765,6.399324875789452
2192,0.0006751242105487165,8151.55441523107,57.93142512421055,6.399326243789473
2193,0.0006737562105270101,8155.626837941891,62.65265708954386,6.399326312189475
2194,0.0006736878105257915,8159.855584564932,65.05764035447719,6.399326315609474
2195,0,8164.264121814932,67.82365,6.398686315609474
2196,0,8168.976216648265,72.49376666666667,6.3980463156094745
2197,0,8173.7129898149315,72.87343333333332,6.397406315609475
2198,0,8178.469612898265,73.17881666666666,6.396766315609475
2199,0,8183.461127564931,76.79253333333334,6.396126315609475
2200,0,8188.430460981598,76.45128333333334,6.3954863156094754
2201,0,8193.420411314932,76.76846666666667,6.394846315609476
2202,0,8198.369716064932,76.14315,6.394206315609476
2203,0,8203.221109148266,74.63681666666666,6.393566315609476
2204,0,8207.8666797316,71.47031666666666,6.392926315609476
2205,0,8212.3176262316,68.4761,6.392286315609477
2206,0,8216.6704357316,66.96629999999999,6.391646315609477
2207,0,8220.933014398266,65.57813333333334,6.391006315609477
2208,0,8225.094132398266,64.0172,6.390366315609477
2209,0,8229.1713462316,62.726366666666664,6.389726315609478
2210,0,8233.175299648266,61.59928333333333,6.389086315609478
2211,0,8237.154020064932,61.211083333333335,6.388446315609478
2212,0,8241.048174398265,59.910066666666665,6.387806315609478
2213,0.01219368439052193,8244.885584404417,59.03707701772385,6.398750315780474
2214,0.0012496842195259816,8248.647135467225,57.870016350886196,6.399297515789025
2215,0.0007024842109757401,8252.447138545365,58.46158581754431,6.399324875789452
2216,0.0006751242105487165,8256.295165095105,59.20040845754388,6.399326243789473
2217,0.0006737562105270101,8260.325746222592,62.008940422877195,6.399326312189475
2218,0.0006736878105257915,8264.434078178967,63.20510702114385,6.399326315609474
2219,0,8268.6746792623,65.24001666666666,6.398686315609474
2220,0,8273.1875512623,69.4288,6.3980463156094745
2221,0,8277.765298678965,70.42688333333334,6.397406315609475
2222,0,8282.446132845633,72.01283333333333,6.396766315609475
2223,0,8287.2077002623,73.25488333333332,6.396126315609475
2224,0,8292.059901512299,74.64925000000001,6.3954863156094754
2225,0,8296.937321678966,75.03723333333333,6.394846315609476
2226,0,8301.822818095632,75.16148333333334,6.394206315609476
2227,0,8306.624075595631,73.8655,6.393566315609476
2228,0,8311.225254428964,70.78736666666667,6.392926315609476
2229,0,8315.710969428965,69.01100000000001,6.392286315609477
2230,0,8320.060640512298,66.91801666666666,6.391646315609477
2231,0,8324.331555428964,65.70638333333332,6.391006315609477
2232,0,8328.60733884563,65.78128333333333,6.390366315609477
2233,0,8332.855317428963,65.35351666666666,6.389726315609478
2234,0,8337.066834262296,64.79256666666666,6.389086315609478
2235,0,8341.295981262296,65.0638,6.388446315609478
2236,0,8345.520429845628,64.99151666666666,6.387806315609478
2237,0.01219368439052193,8349.717004935113,64.56269368439052,6.398750315780474
2238,0.0012496842195259816,8353.888500164589,64.17684968421952,6.399297515789025
2239,0.0007024842109757401,8358.083280742729,64.5350858175443,6.399324875789452
2240,0.0006751242105487165,8362.316696625803,65.12947512421056,6.399326243789473
2241,0.0006737562105270101,8366.599966336624,65.89645708954386,6.399326312189475
2242,0.0006736878105257915,8370.905908042998,66.24525702114386,6.399326315609474
2243,0,8375.231485792998,66.54735,6.398686315609474
2244,0,8379.82577787633,70.68141666666666,6.3980463156094745
2245,0,8384.441396459664,71.00951666666666,6.397406315609475
2246,0,8389.151788292998,72.46756666666667,6.396766315609475
2247,0,8394.143708126332,76.79876666666667,6.396126315609475
2248,0,8399.026107292999,75.11383333333333,6.3954863156094754
2249,0,8403.824499376333,73.82141666666668,6.394846315609476
2250,0,8408.637439543,74.04523333333334,6.394206315609476
2251,0,8413.365088876333,72.73306666666667,6.393566315609476
2252,0,8417.975554043,70.93023333333333,6.392926315609476
2253,0,8422.603990626332,71.20671666666667,6.392286315609477
2254,0,8427.234918876333,71.24504999999999,6.391646315609477
2255,0,8431.836475793,70.79318333333333,6.391006315609477
2256,0,8436.379299793,69.8896,6.390366315609477
2257,0,8440.909545209666,69.69608333333333,6.389726315609478
2258,0,8445.414706043,69.31016666666666,6.389086315609478
2259,0,8449.894957793,68.92694999999999,6.388446315609478
2260,0,8454.362121793,68.7256,6.387806315609478
2261,0.01219368439052193,8458.856884382485,69.15019368439052,6.398750315780474
2262,0.0012496842195259816,8463.322035528627,68.69463301755286,6.399297515789025
2263,0.0007024842109757401,8467.798227106767,68.86448581754432,6.399324875789452
2264,0.0006751242105487165,8472.256239656506,68.58480845754389,6.399326243789473
2265,0.0006737562105270101,8476.701959533993,68.3956904228772,6.399326312189475
2266,0.0006736878105257915,8481.165975823702,68.67717368781052,6.399326315609474
2267,0,8485.683202823702,69.4958,6.398686315609474
2268,0,8490.610792157035,75.80906666666667,6.3980463156094745
2269,0,8495.706319823701,78.39273333333334,6.397406315609475
2270,0,8500.972894990367,81.02423333333333,6.396766315609475
2271,0,8506.3818678237,83.21496666666667,6.396126315609475
2272,0,8511.739364990366,82.42303333333334,6.3954863156094754
2273,0,8517.074433907033,82.07798333333332,6.394846315609476
2274,0,8522.380836740367,81.63696666666667,6.394206315609476
2275,0,8527.669561740367,81.36500000000001,6.393566315609476
2276,0,8532.728020990367,77.82245,6.392926315609476
2277,0,8537.565951490367,74.4297,6.392286315609477
2278,0,8542.312403157033,73.02233333333334,6.391646315609477
2279,0,8546.980320740367,71.81411666666666,6.391006315609477
2280,0,8551.5269093237,69.94751666666666,6.390366315609477
2281,0,8556.044508990366,69.50153333333333,6.389726315609478
2282,0,8560.452837157032,67.82043333333334,6.389086315609478
2283,0,8564.664343157032,64.7924,6.388446315609478
2284,0,8568.794747573698,63.54468333333333,6.387806315609478
2285,0.01219368439052193,8572.941140496518,63.790660351057184,6.398750315780474
2286,0.0012496842195259816,8577.029001309325,62.89016635088619,6.399297515789025
2287,0.0007024842109757401,8581.077694387466,62.28758581754431,6.399324875789452
2288,0.0006751242105487165,8585.09669802054,61.83082512421055,6.399326243789473
2289,0.0006737562105270101,8589.010547814692,60.21307375621053,6.399326312189475
2290,0.0006736878105257915,8593.008690687733,61.50989035447719,6.399326315609474
2291,0,8597.058227521067,62.30056666666667,6.398686315609474
2292,0,8601.248139437734,64.46018333333333,6.3980463156094745
2293,0,8605.4584353544,64.77378333333333,6.397406315609475
2294,0,8609.748605437733,66.00261666666667,6.396766315609475
2295,0,8614.152519021067,67.75251666666666,6.396126315609475
2296,0,8618.604673437734,68.49468333333333,6.3954863156094754
2297,0,8623.117016771068,69.42066666666666,6.394846315609476
2298,0,8627.579699021067,68.65665000000001,6.394206315609476
2299,0,8631.919118521068,66.7603,6.393566315609476
2300,0,8636.165512187734,65.32913333333333,6.392926315609476
2301,0,8640.327832687733,64.03569999999999,6.392286315609477
2302,0,8644.5176666044,64.45898333333334,6.391646315609477
2303,0,8648.605756021068,62.89368333333333,6.391006315609477
2304,0,8652.62915852107,61.898500000000006,6.390366315609477
2305,0,8656.573356354402,60.679966666666665,6.389726315609478
2306,0,8660.527719104402,60.836349999999996,6.389086315609478
2307,0,8664.453708271069,60.39983333333333,6.388446315609478
